Listing...
gettext-base/kali-rolling 0.23.2-1 arm64 [upgradable from: 0.23.1-2+b1]
ghostscript/kali-rolling 10.06.0~dfsg-3 arm64 [upgradable from: 10.05.1~dfsg-1]
gir1.2-atk-1.0/kali-rolling 2.58.1-1 arm64 [upgradable from: 2.57.1-1]
gir1.2-atspi-2.0/kali-rolling 2.58.1-1 arm64 [upgradable from: 2.57.1-1]
gir1.2-freedesktop/kali-rolling 1.86.0-6 arm64 [upgradable from: 1.84.0-1]
gir1.2-gdkpixbuf-2.0/kali-rolling 2.44.4+dfsg-1 arm64 [upgradable from: 2.42.12+dfsg-5]
gir1.2-girepository-2.0/kali-rolling 1.86.0-6 arm64 [upgradable from: 1.84.0-1]
gir1.2-gstreamer-1.0/kali-rolling 1.26.8-1 arm64 [upgradable from: 1.26.5-2]
gir1.2-gtk-3.0/kali-rolling 3.24.51-1 arm64 [upgradable from: 3.24.50-1]
gir1.2-harfbuzz-0.0/kali-rolling 12.1.0-1 arm64 [upgradable from: 10.2.0-1+b1]
gir1.2-libxfce4ui-2.0/kali-rolling 4.20.2-1 arm64 [upgradable from: 4.20.1-1]
gir1.2-nm-1.0/kali-rolling 1.54.1-1 arm64 [upgradable from: 1.54.0-4]
gir1.2-packagekitglib-1.0/kali-rolling 1.3.2-1 arm64 [upgradable from: 1.3.1-1]
gir1.2-pango-1.0/kali-rolling 1.56.3-2 arm64 [upgradable from: 1.56.3-1]
gir1.2-secret-1/kali-rolling 0.21.7-2 arm64 [upgradable from: 0.21.7-1]
gir1.2-vte-2.91/kali-rolling 0.82.1-1+b1 arm64 [upgradable from: 0.80.3-2]
gir1.2-wnck-3.0/kali-rolling 43.3-1 arm64 [upgradable from: 43.2-1]
gnome-accessibility-themes/kali-rolling 3.28-5 all [upgradable from: 3.28-4]
gnome-icon-theme/kali-rolling 3.12.0-7 all [upgradable from: 3.12.0-6]
gnome-keyring-pkcs11/kali-rolling 48.0-5 arm64 [upgradable from: 48.0-3]
gnome-keyring/kali-rolling 48.0-5 arm64 [upgradable from: 48.0-3]
gnome-themes-extra-data/kali-rolling 3.28-5 all [upgradable from: 3.28-4]
gnome-themes-extra/kali-rolling 3.28-5 arm64 [upgradable from: 3.28-4]
gnupg-l10n/kali-rolling 2.4.8-4 all [upgradable from: 2.4.8-3]
gnupg-utils/kali-rolling 2.4.8-4 arm64 [upgradable from: 2.4.8-3]
gnupg/kali-rolling 2.4.8-4 all [upgradable from: 2.4.8-3]
gnutls-bin/kali-rolling 3.8.10-3 arm64 [upgradable from: 3.8.9-3]
gpg-agent/kali-rolling 2.4.8-4 arm64 [upgradable from: 2.4.8-3]
gpg-wks-client/kali-rolling 2.4.8-4 arm64 [upgradable from: 2.4.8-3]
gpg/kali-rolling 2.4.8-4 arm64 [upgradable from: 2.4.8-3]
gpgconf/kali-rolling 2.4.8-4 arm64 [upgradable from: 2.4.8-3]
gpgsm/kali-rolling 2.4.8-4 arm64 [upgradable from: 2.4.8-3]
gpgv/kali-rolling 2.4.8-4 arm64 [upgradable from: 2.4.8-3]
greenbone-feed-sync/kali-rolling 25.1.6-1 all [upgradable from: 25.1.0-1]
grep/kali-rolling 3.12-1 arm64 [upgradable from: 3.11-4+b1]
gsettings-desktop-schemas/kali-rolling 49.1-1 all [upgradable from: 49~beta-1]
gstreamer1.0-gl/kali-rolling 1.26.8-1 arm64 [upgradable from: 1.26.5-2+b1]
gstreamer1.0-libav/kali-rolling 1.26.8-1 arm64 [upgradable from: 1.26.5-2]
gstreamer1.0-plugins-bad/kali-rolling 1.26.8-1 arm64 [upgradable from: 1.26.5-2+b1]
gstreamer1.0-plugins-base/kali-rolling 1.26.8-1 arm64 [upgradable from: 1.26.5-2+b1]
gstreamer1.0-plugins-good/kali-rolling 1.26.8-1 arm64 [upgradable from: 1.26.5-3]
gstreamer1.0-x/kali-rolling 1.26.8-1 arm64 [upgradable from: 1.26.5-2+b1]
gtk2-engines-pixbuf/kali-rolling 2.24.33-9 arm64 [upgradable from: 2.24.33-8]
gvfs-backends/kali-rolling 1.58.0-1 arm64 [upgradable from: 1.57.2-3+b1]
gvfs-common/kali-rolling 1.58.0-1 all [upgradable from: 1.57.2-3]
gvfs-daemons/kali-rolling 1.58.0-1 arm64 [upgradable from: 1.57.2-3+b1]
gvfs-fuse/kali-rolling 1.58.0-1 arm64 [upgradable from: 1.57.2-3+b1]
gvfs-libs/kali-rolling 1.58.0-1 arm64 [upgradable from: 1.57.2-3+b1]
gvfs/kali-rolling 1.58.0-1 arm64 [upgradable from: 1.57.2-3+b1]
gvmd-common/kali-rolling 26.5.0-1 all [upgradable from: 26.2.1-1]
gvmd/kali-rolling 26.5.0-1 arm64 [upgradable from: 26.2.1-1]
hashcat-data/kali-rolling 7.1.2+ds1-3 all [upgradable from: 6.2.6+ds2-1]
hashcat/kali-rolling 7.1.2+ds1-3 arm64 [upgradable from: 6.2.6+ds2-1+b1]
hwloc/kali-rolling 2.12.2-1 arm64 [upgradable from: 2.12.0-4+b1]
hydra/kali-rolling 9.6-3 arm64 [upgradable from: 9.5-3]
iio-sensor-proxy/kali-rolling 3.8-1 arm64 [upgradable from: 3.7-3]
imagemagick-7-common/kali-rolling 8:7.1.2.8+dfsg1-1 all [upgradable from: 8:7.1.1.43+dfsg1-1]
imagemagick-7.q16/kali-rolling 8:7.1.2.8+dfsg1-1 arm64 [upgradable from: 8:7.1.1.43+dfsg1-1]
imagemagick/kali-rolling 8:7.1.2.8+dfsg1-1 arm64 [upgradable from: 8:7.1.1.43+dfsg1-1]
initramfs-tools-bin/kali-rolling 0.150 arm64 [upgradable from: 0.148.3]
initramfs-tools-core/kali-rolling 0.150 all [upgradable from: 0.148.3]
initramfs-tools/kali-rolling 0.150 all [upgradable from: 0.148.3]
iodine/kali-rolling 0.7.0-12 arm64 [upgradable from: 0.7.0-11]
iproute2/kali-rolling 6.17.0-1 arm64 [upgradable from: 6.16.0-1]
ipython3/kali-rolling 8.35.0-2 all [upgradable from: 8.35.0-1]
iso-codes/kali-rolling 4.19.0-1 all [upgradable from: 4.18.0-1]
iw/kali-rolling 6.17-1 arm64 [upgradable from: 6.9-1+b1]
kali-defaults-desktop/kali-rolling 2025.4.3 all [upgradable from: 2025.3.5]
kali-defaults/kali-rolling 2025.4.3 all [upgradable from: 2025.3.5]
kali-desktop-base/kali-rolling 2025.4.4 all [upgradable from: 2025.3.3]
kali-desktop-core/kali-rolling 2025.4.9 arm64 [upgradable from: 2025.4.2]
kali-desktop-xfce/kali-rolling 2025.4.9 all [upgradable from: 2025.4.2]
kali-linux-firmware/kali-rolling 2025.4.9 arm64 [upgradable from: 2025.4.2]
kali-menu/kali-rolling 2025.4.2 all [upgradable from: 2025.3.2]
kali-themes-common/kali-rolling 2025.4.4 all [upgradable from: 2025.3.3]
kali-themes/kali-rolling 2025.4.4 all [upgradable from: 2025.3.3]
kali-tools-top10/kali-rolling 2025.4.9 arm64 [upgradable from: 2025.4.2]
kali-tweaks/kali-rolling 2025.4.0 all [upgradable from: 2023.3.2]
kali-undercover/kali-rolling 2025.4.2 all [upgradable from: 2025.3.0]
keyboard-configuration/kali-rolling 1.244 all [upgradable from: 1.240]
kismet-capture-common/kali-rolling 2025.09.R1-0kali3 all [upgradable from: 2023.07.R2-0kali2]
kismet-capture-hak5-wifi-coconut/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
kismet-capture-linux-bluetooth/kali-rolling 2025.09.R1-0kali3 arm64 [upgradable from: 2023.07.R2-0kali2]
